Unique Identifier	Identifier Source	Meida Type	Physical Format	Digital Format	Encoding	File Size	Generations	Duration	Location	Title	Asset Type	Asset Date	Subject(s)	Description	Description Type	Genre	Genre Authority Used	Relation	Relation Type	Coverage	Coverage Type	Language	Creator	Creator Role	Contributor	Contributor Role	Contributor	Contributor Role	Contributor	Contributer Role	Publisher	Publisher Role	Rights Summary	Annotation	Unique Item?	Notes	Cataloger	Last Updated
cpb-aacip/127-37hqc4tk	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	137.4 MB	Access	00:21:16	Summit Day Media	Waves of Wisdom 26	Episode	1980/1999	Indigenous elders, Indigenous men, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun,Yup'ik, Yupiit, Westernization, Legends, Stories, plots, etc, Ships, Barge-carrying ships, Barge, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Angutevialuk Albert Beaver about the arrival of Western ships and white people told through a story he heard in the past. Yugtun: Qanemciuq angalkumek Ississaayugmek Apruka’armiumek, sun’amek-llu kiagmi tekitetulimek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Angutevialuk Albert Beaver (Kwigillingok)	Interviewee	Uquuviar Olinka Andrew	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-37vmd1rq	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	65.6 MB	Access	00:10:15	Summit Day Media	Waves of Wisdom 27	Episode	1990/1999	Indigenous elders, Indigenous men, Indigenous children, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Community houses, Ancestors, Music, Indigenous peopls--North America--Music, Indigenous peoples--Alaska--Music, Indigenous peoples--Music, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Maqista Ac'urunaq Joshua Phillip. He talks about the importance of community, love, and traditional wisdom being practiced and passed onto future generations. The video ends with children in a classroom singing a song in Yugtun. Yugtun: Qalarrluni ilakuyucaramek, agayumacit cangallrunriluciatnek, kenekmek-llu. Qalarrluni nunam auluklerkaanek, qanruyutnek niiquratullermeggnek, ilakuyucaramek, Agayutem cakanirviirucianek, ayagyuat-llu elicungcallerkaitnek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Maqista Ac'urunaq Joshua Phillip (Tuluksak, Qinaq))	Interviewee					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-38w9gpk2	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	121.2 MB	Access	00:18:56	Summit Day Media	Waves of Wisdom 28	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--Alaska, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Fishing rods, Illegitimate children, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Nevicuk Narr'aq Helen Nelson about ancestral fishing methods, traditional wisdom that girls and boys were taught, the ways that young people are different from their ancestors, the importance of passing on traditional wisdom, and some of her memories about seeing airplanes for the first time. Yugtun: Nevicuk Narr’aq [Helen Nelson] kituucini nalqigtaa. Qanemciluni pilianek neqsurcuutnek, ellangellerminek-llu. Qalarrluni assirluni yuullerkaan qanruyutekainek, yuut cimillratnek, qanruyutet-llu kinguvallerkaatnek. Qanemciluni tengssuutnek tangerqerraallermeggnek, tengssuuciurteḿek-llu Taqay’amek Nangllermi.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Nevicuk Narr'aq Helen Nelson (Naparyarraq)	Interviewee	Upay'aq Elena Miller Ulroan	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-41mgqv1k	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	141.6 MB	Access	00:22:02	Summit Day Media	Waves of Wisdom 29	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Alcoholism, Indigenous peopels--Alcohol use--North America, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Winifred Beans about how to reach out to alcoholics and encourage them to stop drinking through traditional wisdom. Yugtun: Winifred Beans-aam kituucini nalqigtaa, taangamek arenqiallugtellrianek, iqlutun yuuyaranek, qanrucunailengraata-llu irniateng qalaruquraasqelluki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Winifred Beans (Saint Mary's, Mountain Village)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip-127-2683br7p	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	130.4 MB	Access	00:20:13	Summit Day Media	Waves of Wisdom 30	Episode	1980/1999	Indigenous elders, Indigenous women, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Indigenous peoples--Food--North America, Gathering food, Forage, Foraging, Berries, Cloudberry, Sourdock, Food--preservation, Indigenous peoples--Food--North America, Indigenous peoples--Food--Alaska, Frostbite, Traditional medicine--North America, Traditional medicine--Alaska, Indigenous peoples--Health and hygiene--North America, Indigenous peoples--Health and hygiene--Alaska, Impetigo, Infections, Diseases, Healing, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Urutaq Lucy Beaver and Narullgiar Elena Nick about the use of urine to keep from freezing to death, how to eat willow shoots, healing frostbite, the edible parts of cottongrass, and how to preserve cloudberries and sourdock underground. Yugtnu: Qalarrluni teq’um iinruucianek. Qalarrluni uqviit/enrilnguat neqkauciatnek. Qalarrluni qercualriit auluklerkaitnek. Qanemciluni atsat quagcit-llu qemagcarallratnek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Urutaq Lucy Beaver (Bethel), Narull'aq Narullgiar Elena Nick (Nunapitchuk) 	Interviewees					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Not on AAPB website. (Old GUID: cpb-aacip/127-42n5thvk)	Juliana Clark	2022-08-10
cpb-aacip-127-31qfv17m	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	132.1 MB	Access	00:20:34	Summit Day Media	Waves of Wisdom 31	Episode	1980/1999	Indigenous elders, Indigenous men, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Christmas, Christianity, Christians, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Tuunralek Jimmy Chimegalrea about when Christmas was first celebrated in his village. Yugtun: Qanemciluni qaneryariurtet Alussistuam-llu tekiteqerraallratnek, neqnek Kass’artarnek-llu cikiqenglallratnek, ilameng-llu atrit cikiryaraitnek. Qalarrluni [Agayumayarakun] Alussistuam kangianek, pakmani-llu tanqigmek camani-llu tan’germek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Tuunralek Jimmy Chimegalrea (Napakiak, Qinaq)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Not on AAPB website. (Old GUID: cpb-aacip/127-47rn8x0g)	Juliana Clark	2022-08-10
cpb-aacip/127-48ffbpfx	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	394.9 MB	Access	01:01:42	Summit Day Media	Waves of Wisdom 32	Compilation	1980/1999	Indigenous elders, Indigenous men, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Colonization, Colonialism, Schools, Parenting, Cartography, Geography, Maps, Meteorology, Astronomy, AVCP, Association of Village Council Presidents, YKHC,Yukon-Kuskokwim Health Corporation, Yupiit Nation, AFN, Alaska Federation of Natives, IRA Council, Indian Reorganization Act Council, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Several interviews with elders about the importance of community, love, and traditional wisdom being practiced and passed onto future generations, a clip of children in a classroom singing a song in Yugtun, the arrival of white people, the building of a school in Anuuraaq, raising children and being a good wife, names of hunting grounds, names of mountains, names of rivers, alcoholism, wisdom that can be given to people struggling with alcohol abuse, how the winds affect fishing, how the stars are used to keep track of time, and the development of a regional tribal government. Yugtun: Qalarrluni angutngurtellrianek arnaurtellrianek angukara’urlurnek arnassagarnek-llu, alerquutet kinguvararkauciatnek, ilakuyucaramek, ukvelriit allakaunriluciatnek, kenkekun-llu anirtuumayaramek. Qanemciluni Kass’anek tangerqerraallerminek, elitnaurvingqerraallermeggnek, elitnaurviit akusrarrnarquciatnek, yaaqvaarni-llu elitnaurvigteggun usviirutarkauciatnek. Qanemciluni ingrini pissuryaranek, imumi-llu tamakuni pissutullratnek.Qalarrluni taangakun arenqiallugtellrianek, murilkellermini Mamterillerni taangamek, helping those with alcohol addiction, taangatulit nangruusqevkenaki, nunamini-llu taangatulit ikayurluki caliaminek. Qalarrluni anuqet ciunerkaita nallunailuciatnek, malrunlegteggun agyatgun sassiuryaramek, agyat anuqmun ataciatnek, Yuut kangingyaraitnek/kangiliryaraitnek, iqulirluku-llu quyatminek. Willie qalarrluni AVCP-tgun nunacuaraat ataciurcecugluki caliameggnek, tamatum tungiinun kangiliryuucimeggnek ciutmurcuucimeggnek-llu, AFN-aat-llu callrucimeggnek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun, English	KYUK	Executive Producer	Maqista Aq'urunaq Joshua Phillip (Tuluksak, Qinaq), Panigkaq Freda Beaver (Kwigillingok), Emma Phillip? (Kwigillingok?, Tuluksak?), Callerkuaq William Lomack (Akiachak?), Aacungaq Willie Kassayuli (Akiachak)	Interviewees	Uquuviar Olinka "Ollie" Andrew, John MacDonald, Kakianeq Adolph Lewis	Interviewers			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Contains clips from Waves of Wisdom 58, Waves of Wisdom 40, Waves of Wisdom 39, 	Juliana Clark	2022-08-10
cpb-aacip/127-52j6qcr2	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	409.2 MB	Access	01:03:37	Summit Day Media	Waves of Wisdom 33	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Family, Spring camp, Sealing, Hunting, Songs, Indigenous music, Indigenous peoples--North America--Music, Indigenous peoples--Alaska--Music, Shamans, Supernatural, Dreams, Aging, Marriage, Spouses, Stalking victims, Indigenous healers, Traditional medicine--North America, Traditional medicine--Alaska, Home brewing, Drug abuse, Death, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	Interview with elder Aqesgirpak Mary Worm about finding out she was engaged, where she was born, spring camp and seal hunters, she sings a song for when seal hunters come back home with food, her grandchildren and great-grandchildren, shamans and a creepy dream she had, the death of the shaman Segg'aq, being taught wisdom, the way elders' bones used to crack and make popping sounds, her grandmother's married life and her needing to be healed by a healer to stop a man pursuing her, the consequences of not listening to and practicing traditional wisdom, alcoholism and drug use, home brew in the old days, and the death of her husband.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Aqesgirpak Mary Worm (Kongiganak)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip-127-10wpzkvb	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	144.1 MB	Access	00:22:25	Summit Day Media	Waves of Wisdom 34	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Indigenous peoples--North America--Social life and customs, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Imguuq Martha H. Jackson about being taught traditional wisdom, admonishments girls were taught, fearing men, being social, and the mischievousness of young people. Yugtun: Martha Jackson-aaq Tuulkessaarmiu [Kuigglugmiungurtelleq] qanemciuq qasginek angullerminek, allakarmeng qantangqetullermeggnek, qaneryaranek-llu qalartellrianun tupalallerminek. Qalarrluni au͡g’utun irniaqata kiaruciitnarqucianek, naken anuqli’rqan qaillun tan’gaurluut pairtellerkaita alerquutaitnek, teglegyaram inerquutngucianek, taangam-llu kinguinek. Qanemciluni imumi ilaliutullermeggnek, allanernek-llu ciuniuryaramek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Imguuq Martha H. Jackson (Tuulkessaaq, Tuluksak, Kuiggluk, Kwethluk)	Interviewee	Aqumgaciq John Active	Interviewer	Dean Swope	Camera Operator	American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Not on AAPB website. (Old GUID: cpb-aacip/127-53wstz0s)	Juliana Clark	2022-08-10
cpb-aacip/127-54kkwqvx	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	142.2 MB	Access	00:22:07	Summit Day Media	Waves of Wisdom 35	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Premonitions, Christianity, Christians, Supernatural, Vision--Religious aspects--Christianity, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	Interview with Agesgirpak Mary Worm about how ancestors predicted her grandchildrens' generation would begin a new generation of people would be on earth, treating other peple well even when they treat you bad, and her experience seeing her children and Jesus in the afterlife. Yugtun: Qanemciluni Cevv’arnermi ellangellerminek, kinguqlimeggnek yuut ayuqucirkaatnek ayagniriarkanek, ayagyuat qimugkara’urlurtun ellirarkauciatnek, ayagyuat-llu qanruyuteteng maligtaqunrirarkauniluki. Qalarrluni akinauresqumanritlerminek, ilalciarluni yuuyaramek, ayagcianek-llu tangllerminek nunakegtaarmi.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Aqesgirpak Mary Worm (Kongiganak)	Interviewee					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-54kkwrd6	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	390.8 MB	Access	01:01:16	Summit Day Media	Waves of Wisdom 36	Compilation	1980/1999	Indigenous elders, Indigenous women, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Indigenous peoples--Marriage customs and rites--North America, Marriage, Spouses, Children, Husbands, Wives, Marriage licenses, Trading posts, Priests, Christians, Indigenous Christians, Chores, Winter, Fall, Autumn, Indigenous elders, Indigenous leatherwork, Indigenous men, Fish trapping, Fish traps, Taluyat, Qamut, Fish skins, Amiriit, Blackfish, Kayaks, Relocation, Migration, Admonishments, Wood, Spruce, Indigenous wood-carving--Noth America, Fall camps, Winter camps, Spring camps, Weaving, Uksuaq, Uksuilleq, Taluyaq, Can'giiq, Imarmiutaq, Cuignilnguq, Murak, Neqa, Neqet, Amiq, Canek, Can'get, Inerquutet, Qanruyutet, Qasgiq, Indigenous peoples--Funeral customs and rites--North America, Death, Dead, Funerals, Food--preservation, Indigenous ethics, Parenthood, Parenting, Neqerrluaraat, Dried fish, Religion, Christianity, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Narull'aq Narullgiar Elena Nick, Ackiar Nick Lupie, Tamarqalria Tam'aq Elizabeth Andrew, and two unidentified elders. They talk about marriage, spouses, children, preparing for the winter by gathering wood, making blackfish traps, growing up in Tagyaraq, being taught traditional wisdom, treating people with love, drying and saving fish, how the dead were cared for after passing away, being a good parent and spouse as a wife, not being lazy, mink and otter traps, women gathering and weaving grass, preparing fish skins for clothes, aging urine, only making noise when in danger, telling people where you plan to go before travelling, the new generations being different from the older generations, alcholism affecting young people, and living with religious faith in order to live a better life. Yugtun: Qanemciuq aipangllerminek, takaryupiallerminek, angutet nulirkateng [ilait-llu] akiliyuiruyuciatnek, aipangyuumiicaaquciminek-llu. Qanemciluni Kialirmi tan’gaurluullermeggnek, upagatullermeggnek, qayatgun equgtatullermeggnek, upagyarallermeggnek, uksumi-llu muriit caliluki upcarallermeggnek. Qanemciluni muragnek taluyitullermeggnek wagg’uq qamunek, taluyat-llu ayuquciatnek. Qanemciluni qanruyutnek ellangutkellerminek, kiagmi neqlillernetetullermeggnek, uksumi Tagyarametetullermeggnek, maurluminek arnagnek-llu ilaluni anglillerminek, tupagaqameng inerquumalallermeggnek, akinauresqumanritlerminek, ilani-llu kenkesqelluki. Qanemciluni yuut piunriqatarqata catullermeggnek, piunrillret temait cayaraitnek, piunrillret-llu payuggluki nerutetullermeggnek. Qalarrluni tukercaryaramek. Qalarrluni qanruyutmek paiciryuuteminek, tamalkuita kenkesqelluki, akinauresqevkenaki, qanteng-llu murilkesqelluki. Qanemciluni angutet cassuutelitullratnek, taluyat ayuquciatnek, cuignilngurcuutnek-llu taluyanek. Qalarrluni agayutmun piliqumacimeggnek, yuk-llu ellminek picurlatmun ayalaucianek, imumi yuk’egtaaraullratnek, elliqalriani catairut’languciatnek, elluarluki-llu yuusqelluki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Narull'aq Narullgiar Elena Nick (Nunapitchuk), Ackiar Nick Lupe (Tuntutuliaq, Tuntutuliak), Tamarqalria Tam'aq Elizabeth Andrew (Tuntutuliaq, Tuntutuliak)	Interviewees	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok), Uquviar Olinka Andrew, Sophie Kusak	Interviewers			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Contains clips from Waves of Wisdom 92, Waves of Wisdom 1, Waves of Wisdom 48, Waves of Wisdom 64	Juliana Clark	2022-08-10
cpb-aacip/127-57np5s39	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	120.3 MB	Access	00:18:40	Summit Day Media	Waves of Wisdom 37	Episode	1993-11-13	Indigenous elders, Indigenous men, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Cupiit, Masks, Nepcetaq, Tukaraun, Legends, Meriiq, Quliraq, Qantaq, Bowls, Indigenous peoples--Food--North America, Indigenous peoples--Food--Alaska, Soups, Horsetail, Voles, Cottongrass, Mare's tail tubers, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Nauciralrea Joseph Friday. He is at a museum or educational center talking about the fish bowls and shaman masks inside a display case. He also mentions ways that soup was prepared with sea animal blood and edible plants. Yugtun: Qanemciluni mikelnguut taqneret-llu qantaitnek, uqniyaramek, imumi yuurqaaliat maa-i-tun ayuqenriluciatnek, pakissaatullermeggnek-llu. Qanemciluni angalkut kegginaquitnek, yura’arqameng kegginaqurtulaucimeggnek, kegginaqut unguvalriaruarit unguvalrianun yukniluki, angalkut-llu yuraqata’arqameng kegginaqulisqetullratnek. Qalarrluni yuilqumi mermek canimeggnun ellilaasqelluki, cam-llu mer’iqani yuusciigaciiqniluku.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Nauciralrea Joseph Friday (Chevak)	Interviewee	Peter Tuluk				American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
